Date, Open_Nasdaq, High_Nasdaq, Low_Nasdaq, Close_Nasdaq
11/13/14,4681.56,4703.1,4664.27,4680.14
11/12/14,4644.63,4678.58,4643.78,4675.13
11/11/14,4649.19,4661.22,4640.24,4660.56
11/10/14,4635.1,4653.38,4626.49,4651.62
11/7/14,4636.89,4638.8,4606.81,4632.53
11/6/14,4616.78,4639.17,4604.76,4638.47
11/5/14,4649.47,4650.39,4607.73,4620.72
11/4/14,4623.77,4635.95,4594.91,4623.64
11/3/14,4633.71,4654.18,4627.43,4638.91
10/31/14,4639.45,4641.51,4616.58,4630.74
10/30/14,4532.1,4575.5,4521.78,4566.14
10/29/14,4551.37,4564.44,4517.02,4549.23
10/28/14,4505.73,4564.29,4505.1,4564.29
10/27/14,4469.02,4489.6,4450.29,4485.93
10/24/14,4459.46,4486.26,4445.85,4483.72
10/23/14,4427.44,4475.55,4421.56,4452.79
10/22/14,4429.16,4435.86,4381.28,4382.85
10/21/14,4359.17,4419.48,4356.1,4419.48
10/20/14,4254.16,4316.87,4248.22,4316.07
10/17/14,4275.09,4296.1,4241.67,4258.44
10/16/14,4133.25,4246.02,4131.65,4217.39
10/15/14,4154.1,4231.54,4116.6,4215.32
10/14/14,4246.23,4281.34,4212.82,4227.17
10/13/14,4274.9,4303.82,4212.86,4213.66
10/10/14,4354.63,4380.51,4276.24,4276.24
10/9/14,4458.29,4464.13,4377.28,4378.34
10/8/14,4385.7,4473.73,4355.34,4468.59
10/7/14,4433.91,4441.76,4385.15,4385.2
10/6/14,4492.4,4496.26,4444.1,4454.8
10/3/14,4456.81,4488.07,4445.72,4475.62
10/2/14,4421.25,4441.94,4367.74,4430.19
10/1/14,4486.65,4486.78,4409.3,4422.09
9/30/14,4512.64,4522.06,4483.91,4493.39
9/29/14,4465.84,4515.24,4464.44,4505.85
9/26/14,4476.48,4515.75,4475.48,4512.19
9/25/14,4540.82,4546.93,4466.64,4466.75
9/24/14,4514.92,4557.27,4500.13,4555.22
9/23/14,4511.32,4536.03,4508.42,4508.69
9/22/14,4568.45,4568.87,4513.12,4527.69
9/19/14,4606.13,4610.57,4563.44,4579.79
9/18/14,4575.74,4593.98,4572.62,4593.43
9/17/14,4553.96,4582.4,4539.36,4562.19
9/16/14,4502.11,4558.23,4499.87,4552.76
9/15/14,4567.45,4567.47,4506.73,4518.9
9/12/14,4588.77,4590.08,4555.68,4567.6
9/11/14,4567.64,4591.81,4559.75,4591.81
9/10/14,4554.15,4587.1,4544.84,4586.52
9/9/14,4588.83,4599.03,4544.44,4552.29
9/8/14,4579.06,4600.4,4570.23,4592.29
9/5/14,4560.63,4583,4542.74,4582.9
9/4/14,4581.52,4603.15,4553.31,4562.29
9/3/14,4610.14,4610.14,4565.38,4572.57
9/2/14,4592.42,4598.64,4576.81,4598.19
8/29/14,4571.76,4580.27,4553.78,4580.27
8/28/14,4552.55,4565.96,4546.62,4557.69
8/27/14,4574.35,4575.82,4561.84,4569.62
8/26/14,4563.81,4575.59,4556.78,4570.64
8/25/14,4563.72,4571.14,4547.78,4557.35
8/22/14,4534.87,4547.24,4521.77,4538.55
8/21/14,4526.72,4534,4513.81,4532.1
8/20/14,4517.75,4533.01,4515.73,4526.48
8/19/14,4514.26,4528.91,4513.92,4527.51
8/18/14,4490.53,4509.16,4486.43,4508.31
8/15/14,4479.64,4482.47,4427.13,4464.93
8/14/14,4438.13,4453,4433.94,4453
8/13/14,4407.86,4434.31,4403.64,4434.13
8/12/14,4394.69,4407.08,4371.84,4389.25
8/11/14,4387.38,4415.78,4384.15,4401.33
8/8/14,4340.88,4373.11,4327.87,4370.9
8/7/14,4373.24,4379.7,4321.89,4334.97
8/6/14,4326.28,4378.99,4325.04,4355.05
8/5/14,4364.59,4383.02,4333.58,4352.84
8/4/14,4365.62,4395.38,4343.03,4383.89
8/1/14,4363.39,4385.05,4324.02,4352.64
7/31/14,4421.29,4430.8,4367.15,4369.77
7/30/14,4468.44,4476.06,4444.51,4462.9
7/29/14,4456.07,4470.97,4441.03,4442.7
7/28/14,4451.12,4455.39,4413.91,4444.91
7/25/14,4448.06,4457.95,4430.43,4449.56
7/24/14,4481.61,4485.5,4465.93,4472.11
7/23/14,4468.16,4480.73,4457.94,4473.7
7/22/14,4444.94,4464.13,4443.35,4456.02
7/21/14,4421.2,4432.41,4404.5,4424.7
7/18/14,4379.94,4434.43,4378.22,4432.15
7/17/14,4411.52,4425.38,4352.23,4363.45
7/16/14,4446.17,4448.87,4419.71,4425.97
7/15/14,4444.91,4451.93,4389.7,4416.39
7/14/14,4441.39,4451.6,4432.95,4440.42
7/11/14,4401.05,4417.16,4389.29,4415.49
7/10/14,4352.03,4415.85,4351.04,4396.2
7/9/14,4403.03,4421.93,4388.01,4419.03
7/8/14,4442.87,4443.56,4372.04,4391.46
7/7/14,4477.74,4478.02,4447.6,4451.53
7/3/14,4472.89,4485.93,4463.85,4485.93
7/2/14,4457.86,4466.92,4450.88,4457.73
7/1/14,4424.71,4471.59,4424.43,4458.65
6/30/14,4398.37,4417.47,4396.59,4408.18
6/27/14,4371.8,4398.85,4371.6,4397.93
6/26/14,4379.44,4379.81,4347.45,4379.05
6/25/14,4341.82,4383.55,4339.41,4379.76
6/24/14,4367.9,4399.87,4342.9,4350.36
6/23/14,4368.95,4371.81,4358.68,4368.68
6/20/14,4365.37,4368.8,4354.03,4368.04
6/19/14,4370.14,4372.18,4339.61,4359.33
6/18/14,4341.18,4365.1,4320.54,4362.84
6/17/14,4316.01,4346.12,4311.15,4337.23
6/16/14,4303.93,4326.9,4296.26,4321.11
6/13/14,4315.31,4317.67,4288.41,4310.65
6/12/14,4323.11,4328.35,4284.53,4297.63
6/11/14,4322.92,4338.21,4315.49,4331.93
6/10/14,4329.2,4338.87,4319.93,4338
6/9/14,4324.35,4346.74,4320.28,4336.24
6/6/14,4312.76,4322.51,4305.74,4321.4
6/5/14,4259.12,4299.5,4241.68,4296.23
6/4/14,4222.21,4256.19,4216.23,4251.64
6/3/14,4222.04,4240.35,4215.81,4234.08
6/2/14,4247.96,4247.96,4207.61,4237.2
5/30/14,4251.49,4252.08,4221.95,4242.62
5/29/14,4238.04,4247.94,4228.96,4247.95
5/28/14,4234.96,4238.18,4216.89,4225.07
5/27/14,4206.44,4237.07,4204.72,4237.07
5/23/14,4159.78,4186.58,4148.31,4185.81
5/22/14,4136.09,4164.85,4131.47,4154.34
5/21/14,4105.96,4133.61,4103.6,4131.54
5/20/14,4121.11,4124.86,4080.61,4096.89
5/19/14,4080.33,4128.47,4075.7,4125.82
5/16/14,4070.35,4091.16,4044.27,4090.59
5/15/14,4096.53,4098.25,4035.96,4069.29
5/14/14,4122.08,4132.33,4093.83,4100.63
5/13/14,4144.9,4155.13,4128.01,4130.17
5/12/14,4092.84,4146.53,4092.09,4143.86
5/9/14,4043.44,4071.87,4025.24,4071.87
5/8/14,4053.28,4109.19,4039.91,4051.5
5/7/14,4085.49,4091.03,4021.05,4067.67
5/6/14,4128.22,4132.46,4080.76,4080.76
5/5/14,4099.25,4138.34,4086.35,4138.06
5/2/14,4138.63,4145.06,4115.89,4123.9
5/1/14,4121.25,4149.56,4105.61,4127.45
4/30/14,4085.19,4116.14,4070.63,4114.56
4/29/14,4089.51,4111.45,4070.24,4103.54
4/28/14,4091.81,4111.59,4014.17,4074.4
4/25/14,4125.16,4126.98,4068.1,4075.56
4/24/14,4174.61,4177.16,4107.52,4148.34
4/23/14,4160.9,4161.44,4125.41,4126.97
4/22/14,4132.06,4170.72,4131.6,4161.46
4/21/14,4105.36,4121.55,4081.91,4121.55
4/17/14,4080.3,4110.46,4064.7,4095.52
4/16/14,4066.82,4086.28,4038.81,4086.23
4/15/14,4032.63,4054.8,3946.03,4034.16
4/14/14,4038.06,4050.79,3986.5,4022.69
4/11/14,4015.07,4067.22,3991.64,3999.73
4/10/14,4181.21,4182.61,4042.76,4054.11
